Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Short Title,Language,Rights,Library Catalog,Extra,Link Attachments,Manual Tags,Modality,Tumor Type,Tumor_Type
WAC9FT9Q,book,2015,"Khokhlova, Vera A.; Fowlkes, J. Brian; Roberts, William W.; Schade, George R.; Xu, Zhen; Khokhlova, Tatiana D.; Hall, Timothy L.; Maxwell, Adam D.; Wang, Yak Nam; Cain, Charles A.",Histotripsy methods in mechanical disintegration of tissue: Towards clinical applications,,,,,"© 2015 Informa UK Ltd. All rights reserved: reproduction in whole or part not permitted. In high intensity focused ultrasound (HIFU) therapy, an ultrasound beam is focused within the body to locally affect the targeted site without damaging intervening tissues. The most common HIFU regime is thermal ablation. Recently there has been increasing interest in generating purely mechanical lesions in tissue (histotripsy). This paper provides an overview of several studies on the development of histotripsy methods toward clinical applications. Two histotripsy approaches and examples of their applications are presented. In one approach, sequences of high-amplitude, short (microsecond-long), focused ultrasound pulses periodically produce dense, energetic bubble clouds that mechanically disintegrate tissue. In an alternative approach, longer (millisecond-long) pulses with shock fronts generate boiling bubbles and the interaction of shock fronts with the resulting vapour cavity causes tissue disintegration. Recent preclinical studies on histotripsy are reviewed for treating benign prostatic hyperplasia (BPH), liver and kidney tumours, kidney stone fragmentation, enhancing anti-tumour immune response, and tissue decellularisation for regenerative medicine applications. Potential clinical advantages of the histotripsy methods are discussed. Histotripsy methods can be used to mechanically ablate a wide variety of tissues, whilst selectivity sparing structures such as large vessels. Both ultrasound and MR imaging can be used for targeting and monitoring the treatment in real time. Although the two approaches utilise different mechanisms for tissue disintegration, both have many of the same advantages and offer a promising alternative method of non-invasive surgery.",2015,2021-06-09 17:06:01,2022-08-19 19:13:57,,,,,,,,,,ISSN: 14645157 Publication Title: International Journal of Hyperthermia DOI: 10.3109/02656736.2015.1007538,,Review; Ultrasound; High intensity focused ultrasound; Physics,High Intensity Focused Ultrasound,,
WJWKUTHB,journalArticle,2021,"Hendricks-Wenger, Alissa; Sereno, Jaqueline; Gannon, Jessica; Zeher, Allison; Brock, Rebecca M.; Betiel-White, Natalie; Simon, Alexander; Davalos, Rafael V.; Coutermarsh-Ott, Sheryl; Vlaisavljevich, Eli; Allen, Irving C.",Histotripsy Ablation Alters the Tumor Microenvironment and Promotes Immune System Activation in a Subcutaneous Model of Pancreatic Cancer.,"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",1525-8955 0885-3010,10.1109/TUFFC.2021.3078094,,"Pancreatic cancer is a significant cause of cancer-related deaths in the United States with an abysmal 5-year overall survival rate that is under 9%. Reasons for  this mortality include the lack of late-stage treatment options and the  immunosuppressive tumor microenvironment. Histotripsy is an ultrasound-guided,  non-invasive, non-thermal tumor ablation therapy that mechanically lyses targeted  cells. To study the effects of histotripsy on pancreatic cancer, we utilized an in  vitro model of pancreatic adenocarcinoma and compared the release of potential  antigens following histotripsy treatment to other ablation modalities. Histotripsy  was found to release immune-stimulating molecules at magnitudes similar to other  non-thermal ablation modalities and superior to thermal ablation modalities, which  corresponded to increased innate immune system activation in vivo. In subsequent in  vivo studies, murine Pan02 tumors were grown in mice and treated with histotripsy.  Flow cytometry and rtPCR were used to determine changes in the tumor  microenvironment over time compared to untreated animals. In mice with pancreatic  tumors, we observed significantly increased tumor-progression-free and general  survival, with increased activation of the innate immune system 24 hours  post-treatment and decreased tumor-associated immune cell populations within 14 days  of treatment. This study demonstrates the feasibility of using histotripsy for  pancreatic cancer ablation and provides mechanistic insight into the initial innate  immune system activation following treatment. Further work is needed to establish  the mechanisms behind the immunomodulation of the tumor microenvironment and immune  effects.",2021-05-06,2022-08-17 14:54:58,2022-08-19 19:08:56,,,,PP,IEEE Trans Ultrason Ferroelectr Freq Control,,eng,,,Place: United States PMID: 33956631,http://www.ncbi.nlm.nih.gov/pubmed/33956631,ResearchArticle; Histology; Histotripsy; Heterotopic; ELISA; Flank; FlowCytometry; FUS-alone; H&E; Pan02; PancreaticCancer; Preclinical; PrimaryTumor; Proteomics; RNAseq; WesternBlot,FUS-alone,,
WJWKUTHB,journalArticle,2021,"Hendricks-Wenger, Alissa; Sereno, Jaqueline; Gannon, Jessica; Zeher, Allison; Brock, Rebecca M.; Betiel-White, Natalie; Simon, Alexander; Davalos, Rafael V.; Coutermarsh-Ott, Sheryl; Vlaisavljevich, Eli; Allen, Irving C.",Histotripsy Ablation Alters the Tumor Microenvironment and Promotes Immune System Activation in a Subcutaneous Model of Pancreatic Cancer.,"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",1525-8955 0885-3010,10.1109/TUFFC.2021.3078094,,"Pancreatic cancer is a significant cause of cancer-related deaths in the United States with an abysmal 5-year overall survival rate that is under 9%. Reasons for  this mortality include the lack of late-stage treatment options and the  immunosuppressive tumor microenvironment. Histotripsy is an ultrasound-guided,  non-invasive, non-thermal tumor ablation therapy that mechanically lyses targeted  cells. To study the effects of histotripsy on pancreatic cancer, we utilized an in  vitro model of pancreatic adenocarcinoma and compared the release of potential  antigens following histotripsy treatment to other ablation modalities. Histotripsy  was found to release immune-stimulating molecules at magnitudes similar to other  non-thermal ablation modalities and superior to thermal ablation modalities, which  corresponded to increased innate immune system activation in vivo. In subsequent in  vivo studies, murine Pan02 tumors were grown in mice and treated with histotripsy.  Flow cytometry and rtPCR were used to determine changes in the tumor  microenvironment over time compared to untreated animals. In mice with pancreatic  tumors, we observed significantly increased tumor-progression-free and general  survival, with increased activation of the innate immune system 24 hours  post-treatment and decreased tumor-associated immune cell populations within 14 days  of treatment. This study demonstrates the feasibility of using histotripsy for  pancreatic cancer ablation and provides mechanistic insight into the initial innate  immune system activation following treatment. Further work is needed to establish  the mechanisms behind the immunomodulation of the tumor microenvironment and immune  effects.",2021-05-06,2022-08-17 14:54:58,2022-08-19 19:08:56,,,,PP,IEEE Trans Ultrason Ferroelectr Freq Control,,eng,,,Place: United States PMID: 33956631,http://www.ncbi.nlm.nih.gov/pubmed/33956631,ResearchArticle; Histology; Histotripsy; Heterotopic; ELISA; Flank; FlowCytometry; FUS-alone; H&E; Pan02; PancreaticCancer; Preclinical; PrimaryTumor; Proteomics; RNAseq; WesternBlot,Histotripsy,,
V449BTZC,journalArticle,2021,"Singh, Mohit Pratap; Sethuraman, Sri Nandhini; Miller, Craig; Malayer, Jerry; Ranjan, Ashish",Boiling histotripsy and in-situ CD40 stimulation improve the checkpoint blockade therapy of poorly immunogenic tumors.,Theranostics,1838-7640,10.7150/thno.49517,,"Background: Advanced stage cancers with a suppressive tumor microenvironment (TME) are often refractory to immune checkpoint inhibitor (ICI) therapy. Recent studies  have shown that focused ultrasound (FUS) TME-modulation can synergize ICI therapy,  but enhancing survival outcomes in poorly immunogenic tumors remains challenging.  Here, we investigated the role of focused ultrasound based boiling histotripsy (HT)  and in-situ anti-CD40 agonist antibody (αCD40) combinatorial therapy in enhancing  therapeutic efficacy against ICI refractory murine melanoma. Methods: Unilateral and  bilateral large (~330-400 mm(3)) poorly immunogenic B16F10 melanoma tumors were  established in the flank regions of mice. Tumors were exposed to single local HT  followed by an in-situ administration of αCD40 (HT+ αCD40: HT40). Inflammatory  signatures post treatment were assessed using pan-cancer immune profiling and flow  cytometry. The ability of HT40 ± ICI to enhance local and systemic effects was  determined by immunological characterization of the harvested tissues, and by tumor  growth delay of local and distant untreated tumors 4-6 weeks post treatment.  Results: Immune profiling revealed that HT40 upregulated a variety of inflammatory  markers in the tumors. Immunologically, HT40 treated tumors showed an increased  population of granzyme B+ expressing functional CD8+ T cells (~4-fold) as well as an  increased M1 to M2 macrophage ratio (~2-3-fold) and CD8+ T: regulatory T cell ratio  (~5-fold) compared to the untreated control. Systemically, the proliferation rates  of the melanoma-specific memory T cell population were significantly enhanced by  HT40 treatment. Finally, the combination of HT40 and ICI therapy (anti-CTLA-4 and  anti-PD-L1) caused superior inhibition of distant untreated tumors, and prolonged  survival rates compared to the control. Conclusions: Data suggest that HT40  reprograms immunologically cold tumors and sensitizes them to ICI therapy. This  approach may be clinically useful for treating advanced stage melanoma cancers.",2021,2022-08-17 14:54:58,2022-08-19 00:02:46,,540-554,2,11,Theranostics,,eng,© The author(s).,,PMID: 33391491  PMCID: PMC7738858,,ResearchArticle; Histology; Histotripsy; histotripsy; Flank; FlowCytometry; H&E; Preclinical; PrimaryTumor; RNAseq; *Anti-tumor immunity; *Boiling histotripsy; *Checkpoint blockade; *Cold tumors; *αCD40; a-CD40; FUS-Drug; Melanoma; Orthotopic; Skin,FUS-Drug,Melanoma,Melanoma
V449BTZC,journalArticle,2021,"Singh, Mohit Pratap; Sethuraman, Sri Nandhini; Miller, Craig; Malayer, Jerry; Ranjan, Ashish",Boiling histotripsy and in-situ CD40 stimulation improve the checkpoint blockade therapy of poorly immunogenic tumors.,Theranostics,1838-7640,10.7150/thno.49517,,"Background: Advanced stage cancers with a suppressive tumor microenvironment (TME) are often refractory to immune checkpoint inhibitor (ICI) therapy. Recent studies  have shown that focused ultrasound (FUS) TME-modulation can synergize ICI therapy,  but enhancing survival outcomes in poorly immunogenic tumors remains challenging.  Here, we investigated the role of focused ultrasound based boiling histotripsy (HT)  and in-situ anti-CD40 agonist antibody (αCD40) combinatorial therapy in enhancing  therapeutic efficacy against ICI refractory murine melanoma. Methods: Unilateral and  bilateral large (~330-400 mm(3)) poorly immunogenic B16F10 melanoma tumors were  established in the flank regions of mice. Tumors were exposed to single local HT  followed by an in-situ administration of αCD40 (HT+ αCD40: HT40). Inflammatory  signatures post treatment were assessed using pan-cancer immune profiling and flow  cytometry. The ability of HT40 ± ICI to enhance local and systemic effects was  determined by immunological characterization of the harvested tissues, and by tumor  growth delay of local and distant untreated tumors 4-6 weeks post treatment.  Results: Immune profiling revealed that HT40 upregulated a variety of inflammatory  markers in the tumors. Immunologically, HT40 treated tumors showed an increased  population of granzyme B+ expressing functional CD8+ T cells (~4-fold) as well as an  increased M1 to M2 macrophage ratio (~2-3-fold) and CD8+ T: regulatory T cell ratio  (~5-fold) compared to the untreated control. Systemically, the proliferation rates  of the melanoma-specific memory T cell population were significantly enhanced by  HT40 treatment. Finally, the combination of HT40 and ICI therapy (anti-CTLA-4 and  anti-PD-L1) caused superior inhibition of distant untreated tumors, and prolonged  survival rates compared to the control. Conclusions: Data suggest that HT40  reprograms immunologically cold tumors and sensitizes them to ICI therapy. This  approach may be clinically useful for treating advanced stage melanoma cancers.",2021,2022-08-17 14:54:58,2022-08-19 00:02:46,,540-554,2,11,Theranostics,,eng,© The author(s).,,PMID: 33391491  PMCID: PMC7738858,,ResearchArticle; Histology; Histotripsy; histotripsy; Flank; FlowCytometry; H&E; Preclinical; PrimaryTumor; RNAseq; *Anti-tumor immunity; *Boiling histotripsy; *Checkpoint blockade; *Cold tumors; *αCD40; a-CD40; FUS-Drug; Melanoma; Orthotopic; Skin,Histotripsy,Melanoma,Melanoma
QL64I5SL,journalArticle,2020,"Sethuraman, Sri Nandhini; Singh, Mohit Pratap; Patil, Girish; Li, Shitao; Fiering, Steven; Hoopes, P Jack; Guha, Chandan; Malayer, Jerry; Ranjan, Ashish",Novel calreticulin-nanoparticle in combination with focused ultrasound induces immunogenic cell death in melanoma to enhance antitumor immunity.,Theranostics,1838-7640 (ELECTRONIC),10.7150/thno.42243,,"Rationale: Some studies have shown that the local activation of immunogenic cell death (ICD) by upregulating calreticulin (CRT) expression in solid tumors can improve antitumor effects. Although a promising approach, a key current challenge in ICD tumor therapy is the absence of a clinically translatable method for reproducibly inducing the CRT expression. Herein, we report a novel calreticulin-nanoparticle (CRT-NP) that enhances ICD and synergizes with focused ultrasound (FUS) to achieve local and systemic antitumor effects. Methods: Full-length clone DNA of calreticulin was encapsulated in NPs made from DOTAP and cholesterol. Three CRT-NP intratumoral injections of 20 µg each were given 2 days apart, and FUS heating (42-45°C, ∼15min) was applied sequentially 24h after each injection to induce ICD. To investigate ICD specific immune effect, the splenocytes of mice vaccinated with CRT-NP (± FUS) treated B16F10 cells were evaluated ex-vivo for TRP-2 antigen specific immunity. Additionally, the long-term protection was evaluated by re-challenging with the melanoma cells in the flank regions of tumor bearing mice. Results: CRT-NP plus FUS (CFUS) upregulated CRT expression, expanded the population of melanoma TRP-2 specific functional CD4+ and CD8+ T cells and tumor-suppressing M1 phenotype, and increased PD-1 and PD-L1 marker expression in the T cells. Therapeutically, CFUS suppressed B16 melanoma growth by \textgreater85% vs. that seen in untreated controls, and \textgreater∼50% vs. CRT-NP or FUS alone, and prevented tumor growth in distal untreated sites. Conclusions: CRT-NP amplifies the FUS and ICD therapeutic outcomes against melanoma, suggesting that the proposed combinatorial methodology may be clinically translatable.",2020,2022-08-17 14:54:58,2022-08-18 23:56:42,,3397–3412,8,10,,,eng,,,Number: 8 PMID: 32206098,,Primary; ResearchArticle; IHC; ELISA; Flank; FlowCytometry; FUS-alone; Preclinical; PrimaryTumor; WesternBlot; FUS-Drug; Melanoma; Orthotopic; Skin; B16-F10; CFUS; FUS-Hyperthermia; IF,FUS-Drug,Melanoma,Melanoma
QL64I5SL,journalArticle,2020,"Sethuraman, Sri Nandhini; Singh, Mohit Pratap; Patil, Girish; Li, Shitao; Fiering, Steven; Hoopes, P Jack; Guha, Chandan; Malayer, Jerry; Ranjan, Ashish",Novel calreticulin-nanoparticle in combination with focused ultrasound induces immunogenic cell death in melanoma to enhance antitumor immunity.,Theranostics,1838-7640 (ELECTRONIC),10.7150/thno.42243,,"Rationale: Some studies have shown that the local activation of immunogenic cell death (ICD) by upregulating calreticulin (CRT) expression in solid tumors can improve antitumor effects. Although a promising approach, a key current challenge in ICD tumor therapy is the absence of a clinically translatable method for reproducibly inducing the CRT expression. Herein, we report a novel calreticulin-nanoparticle (CRT-NP) that enhances ICD and synergizes with focused ultrasound (FUS) to achieve local and systemic antitumor effects. Methods: Full-length clone DNA of calreticulin was encapsulated in NPs made from DOTAP and cholesterol. Three CRT-NP intratumoral injections of 20 µg each were given 2 days apart, and FUS heating (42-45°C, ∼15min) was applied sequentially 24h after each injection to induce ICD. To investigate ICD specific immune effect, the splenocytes of mice vaccinated with CRT-NP (± FUS) treated B16F10 cells were evaluated ex-vivo for TRP-2 antigen specific immunity. Additionally, the long-term protection was evaluated by re-challenging with the melanoma cells in the flank regions of tumor bearing mice. Results: CRT-NP plus FUS (CFUS) upregulated CRT expression, expanded the population of melanoma TRP-2 specific functional CD4+ and CD8+ T cells and tumor-suppressing M1 phenotype, and increased PD-1 and PD-L1 marker expression in the T cells. Therapeutically, CFUS suppressed B16 melanoma growth by \textgreater85% vs. that seen in untreated controls, and \textgreater∼50% vs. CRT-NP or FUS alone, and prevented tumor growth in distal untreated sites. Conclusions: CRT-NP amplifies the FUS and ICD therapeutic outcomes against melanoma, suggesting that the proposed combinatorial methodology may be clinically translatable.",2020,2022-08-17 14:54:58,2022-08-18 23:56:42,,3397–3412,8,10,,,eng,,,Number: 8 PMID: 32206098,,Primary; ResearchArticle; IHC; ELISA; Flank; FlowCytometry; FUS-alone; Preclinical; PrimaryTumor; WesternBlot; FUS-Drug; Melanoma; Orthotopic; Skin; B16-F10; CFUS; FUS-Hyperthermia; IF,FUS-alone,Melanoma,Melanoma
QL64I5SL,journalArticle,2020,"Sethuraman, Sri Nandhini; Singh, Mohit Pratap; Patil, Girish; Li, Shitao; Fiering, Steven; Hoopes, P Jack; Guha, Chandan; Malayer, Jerry; Ranjan, Ashish",Novel calreticulin-nanoparticle in combination with focused ultrasound induces immunogenic cell death in melanoma to enhance antitumor immunity.,Theranostics,1838-7640 (ELECTRONIC),10.7150/thno.42243,,"Rationale: Some studies have shown that the local activation of immunogenic cell death (ICD) by upregulating calreticulin (CRT) expression in solid tumors can improve antitumor effects. Although a promising approach, a key current challenge in ICD tumor therapy is the absence of a clinically translatable method for reproducibly inducing the CRT expression. Herein, we report a novel calreticulin-nanoparticle (CRT-NP) that enhances ICD and synergizes with focused ultrasound (FUS) to achieve local and systemic antitumor effects. Methods: Full-length clone DNA of calreticulin was encapsulated in NPs made from DOTAP and cholesterol. Three CRT-NP intratumoral injections of 20 µg each were given 2 days apart, and FUS heating (42-45°C, ∼15min) was applied sequentially 24h after each injection to induce ICD. To investigate ICD specific immune effect, the splenocytes of mice vaccinated with CRT-NP (± FUS) treated B16F10 cells were evaluated ex-vivo for TRP-2 antigen specific immunity. Additionally, the long-term protection was evaluated by re-challenging with the melanoma cells in the flank regions of tumor bearing mice. Results: CRT-NP plus FUS (CFUS) upregulated CRT expression, expanded the population of melanoma TRP-2 specific functional CD4+ and CD8+ T cells and tumor-suppressing M1 phenotype, and increased PD-1 and PD-L1 marker expression in the T cells. Therapeutically, CFUS suppressed B16 melanoma growth by \textgreater85% vs. that seen in untreated controls, and \textgreater∼50% vs. CRT-NP or FUS alone, and prevented tumor growth in distal untreated sites. Conclusions: CRT-NP amplifies the FUS and ICD therapeutic outcomes against melanoma, suggesting that the proposed combinatorial methodology may be clinically translatable.",2020,2022-08-17 14:54:58,2022-08-18 23:56:42,,3397–3412,8,10,,,eng,,,Number: 8 PMID: 32206098,,Primary; ResearchArticle; IHC; ELISA; Flank; FlowCytometry; FUS-alone; Preclinical; PrimaryTumor; WesternBlot; FUS-Drug; Melanoma; Orthotopic; Skin; B16-F10; CFUS; FUS-Hyperthermia; IF,Hyperthermia,Melanoma,Melanoma
2BS7WRWX,journalArticle,2020,"Qu, Shibin; Worlikar, Tejaswi; Felsted, Amy E; Ganguly, Anutosh; Beems, Megan V; Hubbard, Ryan; Pepple, Ashley L; Kevelin, Alicia A; Garavaglia, Hannah; Dib, Joe; Toma, Mariam; Huang, Hai; Tsung, Allan; Xu, Zhen; Cho, Clifford Suhyun",Non-thermal histotripsy tumor ablation promotes abscopal immune responses that enhance cancer immunotherapy,Journal for ImmunoTherapy of Cancer,2051-1426,10.1136/jitc-2019-000200,https://jitc.bmj.com/lookup/doi/10.1136/jitc-2019-000200,"BACKGROUND: Developing the ability to use tumor-directed therapies to trigger potentially therapeutic immune responses against cancer antigens remains a high priority for cancer immunotherapy. We hypothesized that histotripsy, a novel non-invasive, non-thermal ablation modality that uses ultrasound-generated acoustic cavitation to disrupt tissues, could engender adaptive immune responses to tumor antigens. METHODS: Immunocompetent C57BL/6 mice inoculated with flank melanoma or hepatocellular carcinoma tumors were treated with histotripsy, thermal ablation, radiation therapy, or cytotoxic T lymphocyte-associated protein-4 (CTLA-4) blockade checkpoint inhibition. Lymphocyte responses were measured using flow cytometric and immunohistochemical analyses. The impact of histotripsy on abscopal immune responses was assessed in mice bearing bilateral tumors, or unilateral tumors with pulmonary tumors established via tail vein injection. RESULTS: Histotripsy ablation of subcutaneous murine melanoma tumors stimulated potent local intratumoral infiltration of innate and adaptive immune cell populations. The magnitude of this immunostimulation was stronger than that seen with tumor irradiation or thermal ablation. Histotripsy also promoted abscopal immune responses at untreated tumor sites and inhibited growth of pulmonary metastases. Histotripsy was capable of releasing tumor antigens with retained immunogenicity, and this immunostimulatory effect was associated with calreticulin translocation to the cellular membrane and local and systemic release of high mobility group box protein 1. Histotripsy ablation potentiated the efficacy of checkpoint inhibition immunotherapy in murine models of melanoma and hepatocellular carcinoma. CONCLUSIONS: These preclinical observations suggest that non-invasive histotripsy ablation can be used to stimulate tumor-specific immune responses capable of magnifying the impact of checkpoint inhibition immunotherapy.",2020-01,2022-08-17 14:54:58,2022-08-18 23:55:16,,e000200,1,8,,,eng,,,Number: 1 PMID: 31940590,,Primary; PreClinical; ResearchArticle; IHC; Histology; Histotripsy; HepatocellularCarcinoma; Heterotopic; melanoma; Flank; FlowCytometry; FUS-alone; H&E; PrimaryTumor; FUS-Drug; Orthotopic; Skin; aCTLA-4; anti-CTLA-4; B16GP33; CD8+ T cell stimulation; HCC; Hepa1-6; liver,FUS-Drug,"Carcinoma, Melanoma",Carcinoma
2BS7WRWX,journalArticle,2020,"Qu, Shibin; Worlikar, Tejaswi; Felsted, Amy E; Ganguly, Anutosh; Beems, Megan V; Hubbard, Ryan; Pepple, Ashley L; Kevelin, Alicia A; Garavaglia, Hannah; Dib, Joe; Toma, Mariam; Huang, Hai; Tsung, Allan; Xu, Zhen; Cho, Clifford Suhyun",Non-thermal histotripsy tumor ablation promotes abscopal immune responses that enhance cancer immunotherapy,Journal for ImmunoTherapy of Cancer,2051-1426,10.1136/jitc-2019-000200,https://jitc.bmj.com/lookup/doi/10.1136/jitc-2019-000200,"BACKGROUND: Developing the ability to use tumor-directed therapies to trigger potentially therapeutic immune responses against cancer antigens remains a high priority for cancer immunotherapy. We hypothesized that histotripsy, a novel non-invasive, non-thermal ablation modality that uses ultrasound-generated acoustic cavitation to disrupt tissues, could engender adaptive immune responses to tumor antigens. METHODS: Immunocompetent C57BL/6 mice inoculated with flank melanoma or hepatocellular carcinoma tumors were treated with histotripsy, thermal ablation, radiation therapy, or cytotoxic T lymphocyte-associated protein-4 (CTLA-4) blockade checkpoint inhibition. Lymphocyte responses were measured using flow cytometric and immunohistochemical analyses. The impact of histotripsy on abscopal immune responses was assessed in mice bearing bilateral tumors, or unilateral tumors with pulmonary tumors established via tail vein injection. RESULTS: Histotripsy ablation of subcutaneous murine melanoma tumors stimulated potent local intratumoral infiltration of innate and adaptive immune cell populations. The magnitude of this immunostimulation was stronger than that seen with tumor irradiation or thermal ablation. Histotripsy also promoted abscopal immune responses at untreated tumor sites and inhibited growth of pulmonary metastases. Histotripsy was capable of releasing tumor antigens with retained immunogenicity, and this immunostimulatory effect was associated with calreticulin translocation to the cellular membrane and local and systemic release of high mobility group box protein 1. Histotripsy ablation potentiated the efficacy of checkpoint inhibition immunotherapy in murine models of melanoma and hepatocellular carcinoma. CONCLUSIONS: These preclinical observations suggest that non-invasive histotripsy ablation can be used to stimulate tumor-specific immune responses capable of magnifying the impact of checkpoint inhibition immunotherapy.",2020-01,2022-08-17 14:54:58,2022-08-18 23:55:16,,e000200,1,8,,,eng,,,Number: 1 PMID: 31940590,,Primary; PreClinical; ResearchArticle; IHC; Histology; Histotripsy; HepatocellularCarcinoma; Heterotopic; melanoma; Flank; FlowCytometry; FUS-alone; H&E; PrimaryTumor; FUS-Drug; Orthotopic; Skin; aCTLA-4; anti-CTLA-4; B16GP33; CD8+ T cell stimulation; HCC; Hepa1-6; liver,FUS-Drug,"Carcinoma, Melanoma",Melanoma
